date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:50	1537/1537	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2021%20Oct%202024%2018:56:46%20GMT	https://demo.awaikenthemes.com/html-preview/artistic/images/icon-about-agency-2.svg	C:/Users/DELL%20LATITUDE%205320/Desktop/Site%20digital%202/demo.awaikenthemes.com/html-preview/artistic/images/icon-about-agency-2.svg	(from https://demo.awaikenthemes.com/html-preview/artistic/)
11:59:50	1507/1507	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2021%20Oct%202024%2018:56:54%20GMT	https://demo.awaikenthemes.com/html-preview/artistic/images/icon-about-agency-3.svg	C:/Users/DELL%20LATITUDE%205320/Desktop/Site%20digital%202/demo.awaikenthemes.com/html-preview/artistic/images/icon-about-agency-3.svg	(from https://demo.awaikenthemes.com/html-preview/artistic/)
11:59:51	1000/1000	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2021%20Oct%202024%2018:57:06%20GMT	https://demo.awaikenthemes.com/html-preview/artistic/images/icon-about-agency-4.svg	C:/Users/DELL%20LATITUDE%205320/Desktop/Site%20digital%202/demo.awaikenthemes.com/html-preview/artistic/images/icon-about-agency-4.svg	(from https://demo.awaikenthemes.com/html-preview/artistic/)
11:59:51	1257/1257	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2021%20Oct%202024%2022:24:08%20GMT	https://demo.awaikenthemes.com/html-preview/artistic/images/icon-service-1.svg	C:/Users/DELL%20LATITUDE%205320/Desktop/Site%20digital%202/demo.awaikenthemes.com/html-preview/artistic/images/icon-service-1.svg	(from https://demo.awaikenthemes.com/html-preview/artistic/)
11:59:51	244/244	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2021%20Oct%202024%2021:53:44%20GMT	https://demo.awaikenthemes.com/html-preview/artistic/images/arrow-accent.svg	C:/Users/DELL%20LATITUDE%205320/Desktop/Site%20digital%202/demo.awaikenthemes.com/html-preview/artistic/images/arrow-accent.svg	(from https://demo.awaikenthemes.com/html-preview/artistic/)
11:59:52	568/568	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2021%20Oct%202024%2022:24:22%20GMT	https://demo.awaikenthemes.com/html-preview/artistic/images/icon-service-2.svg	C:/Users/DELL%20LATITUDE%205320/Desktop/Site%20digital%202/demo.awaikenthemes.com/html-preview/artistic/images/icon-service-2.svg	(from https://demo.awaikenthemes.com/html-preview/artistic/)
11:59:52	1016/1016	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2021%20Oct%202024%2022:24:36%20GMT	https://demo.awaikenthemes.com/html-preview/artistic/images/icon-service-3.svg	C:/Users/DELL%20LATITUDE%205320/Desktop/Site%20digital%202/demo.awaikenthemes.com/html-preview/artistic/images/icon-service-3.svg	(from https://demo.awaikenthemes.com/html-preview/artistic/)
11:59:52	239/239	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2023%20Oct%202024%2022:21:50%20GMT	https://demo.awaikenthemes.com/html-preview/artistic/images/arrow-white.svg	C:/Users/DELL%20LATITUDE%205320/Desktop/Site%20digital%202/demo.awaikenthemes.com/html-preview/artistic/images/arrow-white.svg	(from https://demo.awaikenthemes.com/html-preview/artistic/)
11:59:53	1293/1293	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2024%20Oct%202024%2018:04:04%20GMT	https://demo.awaikenthemes.com/html-preview/artistic/images/icon-work-process-1.svg	C:/Users/DELL%20LATITUDE%205320/Desktop/Site%20digital%202/demo.awaikenthemes.com/html-preview/artistic/images/icon-work-process-1.svg	(from https://demo.awaikenthemes.com/html-preview/artistic/)
11:59:53	1316/1316	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2024%20Oct%202024%2018:04:28%20GMT	https://demo.awaikenthemes.com/html-preview/artistic/images/icon-work-process-2.svg	C:/Users/DELL%20LATITUDE%205320/Desktop/Site%20digital%202/demo.awaikenthemes.com/html-preview/artistic/images/icon-work-process-2.svg	(from https://demo.awaikenthemes.com/html-preview/artistic/)
11:59:54	816/816	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2024%20Oct%202024%2018:04:18%20GMT	https://demo.awaikenthemes.com/html-preview/artistic/images/icon-work-process-3.svg	C:/Users/DELL%20LATITUDE%205320/Desktop/Site%20digital%202/demo.awaikenthemes.com/html-preview/artistic/images/icon-work-process-3.svg	(from https://demo.awaikenthemes.com/html-preview/artistic/)
11:59:56	315072/315072	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Oct%202024%2002:21:42%20GMT	https://demo.awaikenthemes.com/html-preview/artistic/images/why-choose-image.jpg	C:/Users/DELL%20LATITUDE%205320/Desktop/Site%20digital%202/demo.awaikenthemes.com/html-preview/artistic/images/why-choose-image.jpg	(from https://demo.awaikenthemes.com/html-preview/artistic/)
11:59:57	175111/175111	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Oct%202024%2001:21:04%20GMT	https://demo.awaikenthemes.com/html-preview/artistic/images/digital-features-img-1.jpg	C:/Users/DELL%20LATITUDE%205320/Desktop/Site%20digital%202/demo.awaikenthemes.com/html-preview/artistic/images/digital-features-img-1.jpg	(from https://demo.awaikenthemes.com/html-preview/artistic/)
